"id_registro","fecha","usuario","nombre_equipo","marca","modelo","serie","unidad","respuestas","obs","idpdf"
"121","2026-04-24 15:43:46","Jorge","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1777059825807856"
"122","2026-04-24 15:35:10","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0009","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1777059309523477"
"123","2026-04-24 15:40:28","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000067
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1777059627792180"
"124","2026-04-24 15:42:26","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1777059745431294"
"125","2026-05-08 14:58:37","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1778266716718690"
"126","2026-05-08 14:59:49","Jorge","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","177826678890568"
"127","2026-05-08 15:00:43","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1778266843290941"
"128","2026-05-08 15:08:39","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0008","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1778267318444172"
"129","2026-03-27 14:38:02","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000067
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1774633081888817"
"130","2026-03-27 14:41:40","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1774633299839419"
